gutenberg_id,title,author,category,year_published,rationale
1342,Pride and Prejudice,"Austen, Jane",Victorian British fiction,1813,"Manners, class, marriage markets; strong clustering for social mobility and gender constraint."
161,Sense and Sensibility,"Austen, Jane",Victorian British fiction,1811,"Emotion vs restraint; family economics and reputation themes."
1400,Great Expectations,"Dickens, Charles",Victorian British fiction,1861,"Class aspiration, guilt, transformation; bridges crime, identity, and social critique clusters."
98,A Tale of Two Cities,"Dickens, Charles",Victorian British fiction,1859,"Revolution, sacrifice, mob politics; connects to war/political upheaval clusters."
1023,Bleak House,"Dickens, Charles",Victorian British fiction,1853,"Institutional critique (law), fog-of-bureaucracy themes; ideal for governance/justice clusters."
1260,Jane Eyre,"Brontë, Charlotte",Victorian British fiction,1847,"Autonomy, morality, desire vs duty; strong gender/constraint + identity themes."
768,Wuthering Heights,"Brontë, Emily",Victorian British fiction,1847,"Obsession, isolation, revenge; connects to psychological torment clusters."
145,Middlemarch,"Eliot, George",Victorian British fiction,1872,"Marriage, vocation, reform politics; high thematic density across ethics and society."
599,Vanity Fair,"Thackeray, William Makepeace",Victorian British fiction,1848,"Ambition, hypocrisy, social climbing; strengthens satire + class clusters."
583,The Woman in White,"Collins, Wilkie",Victorian British fiction,1860,"Identity, deception, legal confinement; bridges mystery with social constraint themes."
4276,North and South,"Gaskell, Elizabeth Cleghorn",Victorian British fiction,1855,"Industrial class conflict, labor/capital; anchors social critique and work/life themes."
110,Tess of the d'Urbervilles,"Hardy, Thomas",Victorian British fiction,1891,"Fate, sexuality, judgment; connects morality, gender, rural life clusters."
143,The Mayor of Casterbridge,"Hardy, Thomas",Victorian British fiction,1886,"Pride, downfall, community; complements tragedy and reputation clusters."
174,The Picture of Dorian Gray,"Wilde, Oscar",Victorian British fiction,1890,"Hedonism, corruption, identity; gothic + moral philosophy bridge work."
2852,The Hound of the Baskervilles,"Doyle, Arthur Conan",Victorian British fiction,1902,"Rationalism vs superstition; detective logic links to science/unknown clusters."
2701,Moby Dick,"Melville, Herman",American classics,1851,"Obsession, nature, metaphysics; bridges wilderness, madness, and the sublime."
76,Adventures of Huckleberry Finn,"Twain, Mark",American classics,1884,"Race, freedom, moral growth; key for identity and social critique clusters."
25344,The Scarlet Letter,"Hawthorne, Nathaniel",American classics,1850,"Shame, law, community judgment; overlaps gender constraint and moral psychology."
77,The House of the Seven Gables,"Hawthorne, Nathaniel",American classics,1851,"Ancestral guilt, property, decay; gothic-inflected American history themes."
64317,The Great Gatsby,"Fitzgerald, F. Scott",American classics,1925,"Wealth, desire, disillusionment; sharp class/mobility themes in modern America."
215,The Call of the Wild,"London, Jack",American classics,1903,"Wilderness, instinct, domination; connects frontier survival with animality themes."
910,White Fang,"London, Jack",American classics,1906,"Civilization vs wild, violence, belonging; complements Call of the Wild for nature clusters."
73,The Red Badge of Courage,"Crane, Stephen",American classics,1895,"Fear, courage, war psychology; anchors war/aftermath clusters."
160,The Awakening,"Chopin, Kate",American classics,1899,"Desire, autonomy, social pressure; strong gender constraint themes."
