id,title,author,chunks,avg_words_per_topic,pct_short_topics
174,"Deep Learning with PyTorch Step-by-Step: A Beginner’s Guide","Daniel Voigt Godoy",551,2.22,73.1
413,"Natural Language Processing With Transformers: Building Language Applications With Hugging Face","Lewis Tunstall, Leandro von Werra, Thomas Wolf",274,2.29,72.1
171,"Deep Learning for Coders With Fastai and Pytorch: AI Applications Without a PhD","Jeremy Howard, Sylvain Gugger",433,2.3,69.5
379,"Machine Learning for Absolute Beginners: A Plain English Introduction","Oliver Theobald",74,2.3,70.0
69,"Approaching (Almost) Any Machine Learning Problem","Abhishek Thakur",154,2.32,68.3
172,"Deep Learning With Python","François Chollet",301,2.37,66.0
950,"Introduction to Algorithms, Third Edition","Thomas H. Cormen, Charles E. Leiserson etc.",1225,2.38,67.1
264,"Hands-On Machine Learning With Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems","Aurélien Géron",621,2.39,64.4
598,"The Blackwell Guide to Literary Theory","Gregory Castle",335,2.39,66.1
121,"Build a Large Language Model","Sebastian Raschka",180,2.4,64.6
382,"Machine Learning With PyTorch and Scikit-Learn: Develop Machine Learning and Deep Learning Models With Python","Sebastian Raschka, Yuxi (hayden) Liu, Vahid Mirjalili, Dmytro Dzhulgakov",450,2.4,64.2
468,"Python Machine Learning: Machine Learning and Deep Learning With Python, Scikit-Learn, and TensorFlow","Samuel Burns",530,2.41,63.7
469,"Python Programming: An Introduction to Computer Science, 3rd Ed.","John Zelle",481,2.41,63.7
173,"Deep Learning With PyTorch","Luca Pietro Giovanni Antiga, Eli Stevens, Thomas Viehmann",468,2.42,61.6
218,"Feature Engineering for Machine Learning","Alice Zheng, Amanda Casari",137,2.43,63.4
74,"Artificial Intelligence: A Modern Approach (4th Edition) (Hardcover Edition)","Zhang Bo Ya [ Mei ] Si Tu Er Te · Luo Su ( Stuart Russell )",1638,2.44,62.9
319,"Invent Your Own Computer Games With Python, 4th Edition","Al Sweigart",334,2.44,63.8
710,"The Hundred-Page Machine Learning Book","Andriy Burkov",98,2.44,61.6
938,"All the Math You Missed","Thomas A. Garrity",319,2.44,65.9
959,"The Big Book of Small Python Projects 81 Easy Practice Programs","Al Sweigart",294,2.44,58.6
47,"Algorithms, Part II","Kevin Wayne, Robert Sedgewick",395,2.45,60.9
81,"Automate the Boring Stuff With Python, 2nd Edition: Practical Programming for Total Beginners","Al Sweigart",356,2.46,65.7
175,"Deep Learning: Foundations and Concepts","Christopher M. Bishop, Hugh Bishop",648,2.46,61.0
937,Algorithms,"Sanjoy Dasgupta, Christos H. Papadimitriou etc.",320,2.46,62.1
943,"Data Structures and Algorithms Using Python","Rance D. Necaise",534,2.46,60.5
467,"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming","Eric Matthes",342,2.47,59.5
471,"PyTorch Recipes: A Problem-Solution Approach to Build, Train and Deploy Neural Network Models","Pradeepta Mishra",177,2.49,62.7
793,"The Python Workshop: Learn to Code in Python and Kickstart Your Career in Software Development or Data Science","Andrew Bird",335,2.49,62.9
664,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction, Second Edition","Trevor Hastie",1074,2.51,58.3
393,"Mastering Machine Learning Algorithms: Expert Techniques for Implementing Popular Machine Learning Algorithms, Fine-Tuning Your Models, and Understanding How They Work, 2nd Edition","Giuseppe Bonaccorso",228,2.53,57.3
